{'loss': 0.7211, 'grad_norm': 1.2141379117965698, 'learning_rate': 5.4444444444444446e-05, 'epoch': 0.8281573498964804, 'step': 100}
{'loss': 0.2218, 'grad_norm': 1.227238655090332, 'learning_rate': 9.823529411764706e-05, 'epoch': 1.6563146997929605, 'step': 200}
{'loss': 0.1925, 'grad_norm': 1.1759886741638184, 'learning_rate': 8.843137254901961e-05, 'epoch': 2.4844720496894412, 'step': 300}
{'loss': 0.1078, 'grad_norm': 1.2003843784332275, 'learning_rate': 7.862745098039215e-05, 'epoch': 3.3126293995859215, 'step': 400}
{'loss': 0.074, 'grad_norm': 3.5039358139038086, 'learning_rate': 6.882352941176471e-05, 'epoch': 4.140786749482402, 'step': 500}
{'loss': 0.049, 'grad_norm': 0.6178632974624634, 'learning_rate': 5.901960784313726e-05, 'epoch': 4.9689440993788825, 'step': 600}
{'loss': 0.0339, 'grad_norm': 0.5927226543426514, 'learning_rate': 4.9215686274509804e-05, 'epoch': 5.797101449275362, 'step': 700}
{'loss': 0.023, 'grad_norm': 0.8288562297821045, 'learning_rate': 3.9411764705882356e-05, 'epoch': 6.625258799171843, 'step': 800}
{'loss': 0.0153, 'grad_norm': 0.45752957463264465, 'learning_rate': 2.9607843137254905e-05, 'epoch': 7.453416149068323, 'step': 900}
{'loss': 0.0094, 'grad_norm': 0.2432287037372589, 'learning_rate': 1.980392156862745e-05, 'epoch': 8.281573498964804, 'step': 1000}
{'loss': 0.0044, 'grad_norm': 0.11495794355869293, 'learning_rate': 1e-05, 'epoch': 9.109730848861284, 'step': 1100}
{'loss': 0.0023, 'grad_norm': 0.015586266294121742, 'learning_rate': 1.9607843137254904e-07, 'epoch': 9.937888198757763, 'step': 1200}
{'train_runtime': 11539.8862, 'train_samples_per_second': 6.692, 'train_steps_per_second': 0.104, 'total_flos': 1.629448831623168e+20, 'train_loss': 0.1212077585235238, 'epoch': 9.937888198757763, 'step': 1200}
